,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
77,5.8965,5.6606,5.5628,5.5359,5.596,5.772,6.0667,6.3586,6.6019,6.3746,6.1517,6.0321,5.7947,5.9701,6.0084,6.1134,6.2637,6.3598,6.4728,6.5073,6.3761,6.2488,6.1358,6.1409
78,5.7565,5.5144,5.399,5.3723,5.3986,5.4804,5.5831,5.6114,5.6997,5.7254,5.816,5.8291,5.7303,5.8654,5.8652,5.8576,5.8707,5.8545,5.9154,5.9368,5.8518,5.764,5.7132,5.7552
79,5.4142,5.1451,5.0144,4.9742,5.0055,5.0749,5.1355,5.1618,5.1875,5.209,5.2685,5.2277,5.1198,5.0871,5.042,5.0332,5.1665,5.4006,5.6363,5.7877,5.7608,5.681,5.6455,5.5785
80,5.2604,5.0212,4.9175,4.9067,4.9866,5.2089,5.5505,5.9867,6.4295,6.3462,6.1852,5.9703,5.6723,5.8685,6.0925,6.2339,6.4357,6.5367,6.6173,6.6819,6.5038,6.3395,6.1996,6.1637
81,5.7747,5.5685,5.4832,5.462,5.522,5.6939,5.9717,6.2529,6.5028,6.3583,6.1195,5.8704,5.5263,5.6892,5.8261,5.9908,6.2453,6.4221,6.5541,6.6325,6.4858,6.3446,6.2193,6.1568
82,5.7641,5.5557,5.4665,5.449,5.5317,5.6992,5.8975,6.1009,6.3468,6.2153,6.0597,5.8463,5.563,5.7451,5.8806,6.0683,6.3194,6.4159,6.5048,6.5755,6.4479,6.3083,6.1378,6.1091
83,5.7364,5.5519,5.4462,5.4117,5.4718,5.625,5.8715,6.0963,6.3021,6.2092,6.1492,6.0431,5.8234,6.0871,6.243,6.337,6.4982,6.5215,6.5788,6.6192,6.4637,6.2904,6.1315,6.0853
84,5.7097,5.4862,5.3822,5.341,5.4088,5.5533,5.7948,6.048,6.3344,6.2635,6.1245,5.9516,5.649,5.9407,6.1222,6.2265,6.354,6.3629,6.4166,6.46,6.3183,6.1752,6.0308,5.9904
85,5.6237,5.4037,5.2935,5.2249,5.2385,5.3279,5.4103,5.5069,5.696,5.7337,5.8128,5.8356,5.7499,5.8799,5.9014,5.879,5.8537,5.8147,5.8564,5.9025,5.8227,5.7361,5.658,5.6577
86,5.3326,5.0976,4.9649,4.9198,4.9491,5.0305,5.0937,5.1504,5.1784,5.2224,5.265,5.1988,5.1029,5.0681,5.075,5.1456,5.2664,5.4588,5.6355,5.778,5.7503,5.6524,5.5876,5.4943
87,5.1812,4.9849,4.8887,4.8895,4.9744,5.1778,5.5256,5.8336,6.102,6.0299,5.9232,5.728,5.4356,5.5977,5.7623,5.924,6.1854,6.3946,6.537,6.6231,6.4719,6.2993,6.1615,6.1216
88,5.7598,5.5676,5.4993,5.4745,5.5368,5.6611,5.9206,6.1975,6.504,6.4238,6.17,5.8795,5.5057,5.6765,5.8069,5.9988,6.2533,6.4411,6.5889,6.6622,6.5061,6.338,6.1955,6.148
89,5.7633,5.5611,5.4887,5.4708,5.5266,5.6808,5.9249,6.0768,6.233,6.0986,5.9813,5.7876,5.4668,5.6796,5.8274,6.0008,6.2222,6.3735,6.5065,6.6289,6.4972,6.3381,6.1961,6.1389
90,5.773,5.5669,5.4811,5.4535,5.5078,5.6656,5.9128,6.1029,6.2758,6.1123,5.9731,5.7568,5.4311,5.6331,5.8023,5.991,6.2362,6.4127,6.5878,6.6706,6.5187,6.3502,6.2205,6.1658
91,5.7949,5.5915,5.478,5.4622,5.5339,5.6873,5.9155,6.0885,6.2384,6.1426,6.0608,5.9235,5.6604,5.8499,5.9773,6.1234,6.334,6.4089,6.4841,6.55,6.4353,6.3102,6.1676,6.1505
92,5.7763,5.5561,5.4527,5.3952,5.4282,5.5299,5.5707,5.4466,5.3003,5.1148,5.0783,4.9221,4.7127,4.8125,4.9371,5.0645,5.2319,5.4126,5.6445,5.8226,5.8074,5.7498,5.6827,5.6684
93,5.3435,5.1136,4.9931,4.9571,4.9981,5.085,5.1024,4.9349,4.6915,4.5027,4.486,4.3641,4.2677,4.297,4.4122,4.6172,4.8801,5.1719,5.4494,5.6582,5.6651,5.5954,5.5204,5.4029
94,5.073,4.8808,4.8032,4.7967,4.8693,5.0463,5.3806,5.8563,6.4838,6.6221,6.6273,6.6359,6.4726,6.741,6.8335,6.8504,6.9016,6.8431,6.7598,6.6805,6.405,6.2827,6.1227,6.1007
95,5.7378,5.5237,5.4296,5.3916,5.4296,5.5732,5.8455,6.2145,6.5989,6.5713,6.3819,6.1302,5.7643,5.9147,5.9329,6.0146,6.2527,6.4433,6.5891,6.677,6.535,6.3484,6.1953,6.1683
96,5.8013,5.5973,5.4992,5.4746,5.5485,5.7056,5.9367,6.1526,6.3318,6.2047,6.0389,5.7927,5.476,5.6511,5.793,5.9789,6.2221,6.3896,6.5211,6.6263,6.503,6.3549,6.216,6.1866
97,5.8076,5.6351,5.5399,5.5236,5.5736,5.7245,5.9439,6.1159,6.3167,6.2212,6.1227,5.9573,5.6701,5.876,5.935,6.0284,6.2812,6.4262,6.5378,6.6365,6.5014,6.3557,6.1834,6.1527
98,5.7879,5.5862,5.4994,5.4582,5.5156,5.6441,5.8884,6.2139,6.6009,6.588,6.593,6.5771,6.3171,6.538,6.5479,6.4869,6.48,6.436,6.4512,6.5252,6.3946,6.2474,6.1159,6.1298
99,5.7733,5.541,5.4276,5.382,5.3948,5.4792,5.549,5.4562,5.3052,5.0751,5.0508,5.265,5.0227,5.0125,5.021,5.1082,5.2572,5.4334,5.6544,5.8589,5.8502,5.7668,5.6996,5.7391
100,5.4216,5.1842,5.0495,4.9881,5.0285,5.114,5.126,4.9593,4.7554,4.5818,4.5579,4.3803,4.2822,4.2783,4.3623,4.5596,4.851,5.1982,5.5022,5.7129,5.7397,5.6771,5.6205,5.5187
101,5.2168,5.0205,4.9477,4.9293,5.0187,5.2147,5.5042,5.7546,6.0588,6.0195,5.9275,5.7507,5.4545,5.6537,5.8209,6.0163,6.2492,6.4236,6.5409,6.6072,6.471,6.2974,6.1494,6.1179
102,5.7502,5.5549,5.4742,5.4444,5.4967,5.6479,5.8526,6.0002,6.1784,6.1039,6.0285,5.8616,5.5637,5.7789,5.9468,6.135,6.3611,6.4709,6.5721,6.6393,6.4859,6.3004,6.1494,6.0647
103,5.6752,5.4753,5.3898,5.368,5.4312,5.5653,5.7818,5.9578,6.1674,6.1356,6.0624,5.9268,5.6748,5.9959,6.1727,6.2961,6.4942,6.5605,6.5594,6.594,6.4831,6.3239,6.1351,6.0378
104,5.6627,5.5028,5.386,5.346,5.4039,5.516,5.7516,6.0372,6.3887,6.398,6.3175,6.2293,5.9842,6.2584,6.471,6.6141,6.7265,6.7059,6.6837,6.6966,6.5193,6.3184,6.1118,6.0309
105,5.6476,5.4532,5.3749,5.3403,5.3672,5.485,5.746,6.0652,6.4215,6.4149,6.3362,6.2337,6.0228,6.232,6.3337,6.4465,6.5461,6.516,6.4867,6.5062,6.4136,6.2736,6.1017,6.0013
106,5.6319,5.4292,5.3217,5.2739,5.2842,5.3277,5.3801,5.3468,5.3371,5.2132,5.1733,5.0195,4.8702,5.0357,5.1922,5.2899,5.4232,5.4677,5.6229,5.7782,5.7725,5.6838,5.5847,5.5441
107,5.2462,5.0325,4.9115,4.8563,4.8895,4.9481,4.9629,4.8133,4.6177,4.4779,4.4992,4.3982,4.3413,4.3811,4.537,4.7343,4.9919,5.2561,5.4922,5.6678,5.681,5.5996,5.5082,5.3739
108,5.0652,4.8944,4.8109,4.7976,4.8569,5.0388,5.2968,5.561,5.923,5.9324,5.8923,5.7475,5.5049,5.7495,5.9125,6.0527,6.2669,6.3973,6.4891,6.5456,6.4177,6.2385,6.0467,5.9873
109,5.638,5.4503,5.3563,5.3035,5.3553,5.4706,5.6948,5.9617,6.349,6.3961,6.3612,6.2669,6.0812,6.2857,6.3597,6.4762,6.6283,6.6257,6.6165,6.6161,6.4838,6.2958,6.0943,6.0364
110,5.6622,5.4741,5.3816,5.345,5.392,5.5063,5.7192,5.9583,6.2566,6.2323,6.1532,6.024,5.8202,6.1235,6.309,6.3904,6.4939,6.4815,6.4867,6.5551,6.4558,6.2955,6.1229,6.0024
111,5.6235,5.4355,5.3474,5.3108,5.3521,5.4759,5.7017,5.9777,6.2554,6.2468,6.2029,6.0709,5.72,5.8913,5.9832,6.1426,6.3827,6.4958,6.5619,6.6022,6.4643,6.2949,6.1066,6.0034
112,5.6374,5.4498,5.3497,5.3141,5.3524,5.4599,5.6987,5.9834,6.2846,6.2771,6.1697,6.0004,5.7338,5.9666,6.1155,6.243,6.3853,6.373,6.4036,6.4304,6.3134,6.1822,6.0353,5.9667
113,5.6056,5.3924,5.2614,5.2091,5.1938,5.1941,5.2566,5.2531,5.2626,5.2136,5.2527,5.1684,4.9914,5.0138,5.0599,5.1074,5.1845,5.3387,5.5258,5.6696,5.6758,5.5977,5.5359,5.5203
